statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL012;12 years;71.68;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL067;67 years;16.49;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL099;99 years;2.18;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL054;54 years;26.78;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL086;86 years;6.01;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL041;41 years;38.73;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL019;19 years;60.07;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL073;73 years;14.68;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL006;6 years;72.96;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL060;60 years;25.39;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL004;4 years;74.94;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL037;37 years;47.0;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL011;11 years;72.68;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL024;24 years;59.79;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL079;79 years;8.65;years;LEB007;Average life expectancy [e(x)]
